Requirement	Input	Output	Cost	Tests	Syntax	Consistent	Previous	Valid	%	Complete	Wrong	Misses	%
Every photo is posted by one user	1414	5184	0.05	6	6	6	6	6	100.00	1	118	3	2.54
Users cannot follow themselves	1427	6680	0.07	6	6	6	6	6	100.00	1	44	0	0.00
Users can see ads posted by everyone, but only see non ads posted by followed users	1447	7638	0.08	6	0	0	0	0	0.00	0			
If a user posts an ad then all its posts should be labeled as ads	1463	8001	0.08	6	0	0	0	0	0.00	0			
Influencers are followed by everyone else	1471	6663	0.07	6	6	6	6	6	100.00	1	166	8	4.82
Influencers post every day	1477	9741	0.10	6	6	6	6	6	100.00	1	70	13	18.57
Suggested are other users followed by followed users, but not yet followed	1491	8785	0.09	6	6	6	6	6	100.00	1	527	1	0.19
A user only sees ads from followed or suggested users	1502	12183	0.12	6	6	6	6	6	100.00	1	255	94	36.86
Photo sharing social network totals	11692	64875	0.66	48	36	36	36	36	75.0	6	1180	119	10.50
Workers are either human or robots	1432	6452	0.07	6	0	0	0	0	0.00	0			
Every workstation has workers and every worker works in one workstation	1452	7221	0.07	6	6	6	6	6	100.00	1	93	7	7.53
Every component is assembled in one workstation	1462	6948	0.07	6	6	6	6	6	100.00	1	28	2	7.14
Components must have parts and materials have no parts	1472	9516	0.10	6	6	6	6	6	100.00	1	79	5	6.33
Humans and robots cannot work together	1480	9223	0.09	6	6	6	6	6	100.00	1	118	7	5.93
Components cannot be their own parts	1487	6880	0.07	6	6	6	6	5	83.33	0			
Components built of dangerous parts are also dangerous	1496	8241	0.08	6	6	6	6	6	100.00	1	109	19	17.43
Dangerous components cannot be assembled by humans	1505	11647	0.12	6	6	3	3	3	50.00	0			
The workstations form a single line between begin and end	1517	8903	0.09	6	6	6	6	6	100.00	1	589	97	16.47
The parts of a component must be assembled before it in the production line	1532	10764	0.11	6	6	6	5	5	83.33	0			
Production line totals	14835	85795	0.88	60	54	51	50	49	81.7	6	1016	137	10.14
The station has at least one entry and one exit	1405	4313	0.04	6	6	6	6	6	100.00	1	126	11	8.73
Signals belong to one track	1419	5183	0.05	6	6	6	6	6	100.00	1	54	1	1.85
Exit tracks are those without successor	1427	6482	0.07	6	6	6	6	6	100.00	1	142	2	1.41
Entry tracks are those without predecessors	1434	8260	0.08	6	6	3	3	3	50.00	0			
Junctions are the tracks with more than one predecessor	1446	9165	0.09	6	6	3	3	3	50.00	0			
Entry tracks must have a speed signal	1454	8216	0.08	6	6	6	6	6	100.00	1	68	3	4.41
The station has no cycles	1460	10355	0.11	6	6	6	6	6	100.00	1	36	0	0.00
It should be possible to reach every exit from every entry	1472	8384	0.09	6	6	6	5	5	83.33	0			
Tracks not followed by junctions do not have semaphores	1485	8213	0.08	6	6	6	6	6	100.00	1	203	4	1.97
Every track before a junction has a semaphore	1494	7949	0.08	6	6	6	6	6	100.00	1	86	4	4.65
Train station totals	14496	76520	0.78	60	60	54	53	53	88.3	7	715	25	3.29
Only students can be enrolled in courses	1421	5225	0.05	6	6	6	6	6	100.00	1	161	11	6.83
Only professors can teach courses	1435	6014	0.06	6	6	6	6	6	100.00	1	33	5	15.15
Courses must have teachers	1442	6016	0.06	6	4	4	4	4	66.67	0			
Projects are proposed by one course	1449	8834	0.09	6	6	6	6	6	100.00	1	87	7	8.05
Only students work on projects and projects must have someone working on them	1463	7347	0.08	6	6	6	6	6	100.00	1	248	38	15.32
Students only work on projects of courses they are enrolled in	1475	7818	0.08	6	0	0	0	0	0.00	0			
Students work on at most one project per course	1485	8631	0.09	6	6	6	6	6	100.00	1	177	12	6.78
A professor cannot teach herself	1491	8623	0.09	6	6	6	6	6	100.00	1	79	15	18.99
A professor cannot teach colleagues	1497	10260	0.10	6	0	0	0	0	0.00	0			
Only students have grades	1502	7711	0.08	6	6	6	6	6	100.00	1	80	5	6.25
Students only have grades in courses they are enrolled	1512	15892	0.16	6	6	3	3	3	50.00	0			
Students have at most one grade per course	1521	9412	0.10	6	6	6	6	6	100.00	1	87	14	16.09
A student with the highest mark in a course must have worked on a project on that course	1540	10911	0.11	6	6	6	6	6	100.00	1	292	83	28.42
A student cannot work with the same student in different projects	1552	10869	0.11	6	6	0	0	0	0.00	0			
Students working on the same project in a course cannot have marks differing by more than one unit	1571	9952	0.10	6	6	6	6	6	100.00	1	110	39	35.45
Courses totals	22356	133515	1.36	90	76	67	67	67	74.4	10	1354	229	15.73
Totals	63379	360705	3.69	258	226	208	206	205	79.46	29	4265	510	10.49
