Requirement	Input	Output	Cost	Tests	Syntax	Consistent	Previous	Valid	%	Complete	Wrong	Misses	%
Every photo is posted by one user	1866	6497	0.07	8	8	8	8	8	100.00	1	118	1	0.85
Users cannot follow themselves	1879	5969	0.06	8	8	8	8	8	100.00	1	44	1	2.27
Users can see ads posted by everyone, but only see non ads posted by followed users	1899	7686	0.08	8	8	8	8	6	75.00	0			
If a user posts an ad then all its posts should be labeled as ads	1915	8161	0.08	8	8	8	8	8	100.00	1	149	2	1.34
Influencers are followed by everyone else	1923	8441	0.09	8	8	8	8	8	100.00	1	166	3	1.81
Influencers post every day	1929	8187	0.08	8	0	0	0	0	0.00	0			
Suggested are other users followed by followed users, but not yet followed	1943	7437	0.08	8	8	8	8	8	100.00	1	527	15	2.85
A user only sees ads from followed or suggested users	1954	12186	0.12	8	8	8	8	8	100.00	1	255	102	40.00
Photo sharing social network totals	15308	64564	0.66	64	56	56	56	54	84.4	6	1259	124	8.19
Workers are either human or robots	1884	8530	0.09	8	8	8	8	8	100.00	1	44	2	4.55
Every workstation has workers and every worker works in one workstation	1904	9174	0.09	8	8	8	8	8	100.00	1	93	5	5.38
Every component is assembled in one workstation	1914	9973	0.10	8	8	8	8	8	100.00	1	28	2	7.14
Components must have parts and materials have no parts	1924	7935	0.08	8	8	8	8	8	100.00	1	79	4	5.06
Humans and robots cannot work together	1932	9996	0.10	8	8	8	8	8	100.00	1	118	7	5.93
Components cannot be their own parts	1939	9650	0.10	8	8	8	8	7	87.50	0			
Components built of dangerous parts are also dangerous	1948	11604	0.12	8	8	8	8	8	100.00	1	109	3	2.75
Dangerous components cannot be assembled by humans	1957	8938	0.09	8	8	8	8	8	100.00	1	99	5	5.05
The workstations form a single line between begin and end	1969	8321	0.09	8	8	8	8	8	100.00	1	589	56	9.51
The parts of a component must be assembled before it in the production line	1984	10271	0.11	8	8	8	8	8	100.00	1	265	21	7.92
Production line totals	19355	94392	0.97	80	80	80	80	79	98.8	9	1424	105	5.92
The station has at least one entry and one exit	1857	4723	0.05	8	8	8	8	8	100.00	1	126	1	0.79
Signals belong to one track	1871	6113	0.06	8	8	8	8	8	100.00	1	54	1	1.85
Exit tracks are those without successor	1879	6797	0.07	8	8	8	8	8	100.00	1	142	22	15.49
Entry tracks are those without predecessors	1886	7767	0.08	8	8	8	8	8	100.00	1	109	2	1.83
Junctions are the tracks with more than one predecessor	1898	7527	0.08	8	8	8	8	8	100.00	1	163	7	4.29
Entry tracks must have a speed signal	1906	8196	0.08	8	8	8	8	8	100.00	1	68	6	8.82
The station has no cycles	1912	8776	0.09	8	8	8	8	8	100.00	1	36	0	0.00
It should be possible to reach every exit from every entry	1924	9477	0.10	8	8	8	8	8	100.00	1	50	5	10.00
Tracks not followed by junctions do not have semaphores	1937	9072	0.09	8	8	8	8	8	100.00	1	203	4	1.97
Every track before a junction has a semaphore	1946	10379	0.11	8	8	8	7	7	87.50	0			
Train station totals	19016	78827	0.81	80	80	80	79	79	98.8	9	951	48	5.01
Only students can be enrolled in courses	1873	5807	0.06	8	8	8	8	8	100.00	1	161	7	4.35
Only professors can teach courses	1887	6483	0.07	8	8	8	8	8	100.00	1	33	3	9.09
Courses must have teachers	1894	9175	0.09	8	8	8	8	8	100.00	1	82	2	2.44
Projects are proposed by one course	1901	7784	0.08	8	4	4	4	4	50.00	0			
Only students work on projects and projects must have someone working on them	1915	9001	0.09	8	8	8	8	8	100.00	1	248	28	11.29
Students only work on projects of courses they are enrolled in	1927	8055	0.08	8	8	8	8	8	100.00	1	168	26	15.48
Students work on at most one project per course	1937	8936	0.09	8	8	8	8	8	100.00	1	177	7	3.95
A professor cannot teach herself	1943	9680	0.10	8	2	2	2	2	25.00	0			
A professor cannot teach colleagues	1949	9617	0.10	8	8	8	8	4	50.00	0			
Only students have grades	1954	10292	0.11	8	3	3	3	3	37.50	0			
Students only have grades in courses they are enrolled	1964	8875	0.09	8	8	8	8	8	100.00	1	87	14	16.09
Students have at most one grade per course	1973	11147	0.11	8	8	8	8	8	100.00	1	87	4	4.60
A student with the highest mark in a course must have worked on a project on that course	1992	10750	0.11	8	8	8	8	8	100.00	1	292	48	16.44
A student cannot work with the same student in different projects	2004	12306	0.13	8	8	8	8	8	100.00	1	50	2	4.00
Students working on the same project in a course cannot have marks differing by more than one unit	2023	12416	0.13	8	8	8	8	8	100.00	1	110	28	25.45
Courses totals	29136	140324	1.44	120	105	105	105	101	84.2	11	1495	169	10.29
Totals	82815	378107	3.88	344	321	321	320	313	90.99	35	5129	446	7.45
