model	cmd	entries	semantic	syntactic	scope	duration
cXPP9QBPTYgTX6WJ6	inv1	818	133	258	3	50s
cXPP9QBPTYgTX6WJ6	inv2	580	56	153	3	13s
cXPP9QBPTYgTX6WJ6	inv3	1473	145	384	3	71s
cXPP9QBPTYgTX6WJ6	inv4	685	111	272	3	35s
cXPP9QBPTYgTX6WJ6	inv5	836	166	392	3	76s
cXPP9QBPTYgTX6WJ6	inv6	461	70	133	3	14s
cXPP9QBPTYgTX6WJ6	inv7	335	38	78	3	5s
cXPP9QBPTYgTX6WJ6	inv8	508	53	120	3	10s
cXPP9QBPTYgTX6WJ6	inv9	768	206	357	3	103s
cXPP9QBPTYgTX6WJ6	inv10	425	90	156	3	23s
x3JXgWhJ3uti5Dzxz	inv1	3035	120	379	3	67s
x3JXgWhJ3uti5Dzxz	inv2	1592	45	171	3	15s
x3JXgWhJ3uti5Dzxz	inv3	3939	861	1803	3	1811s
x3JXgWhJ3uti5Dzxz	inv4	1969	151	586	3	77s
x3JXgWhJ3uti5Dzxz	inv5	2542	168	524	3	87s
x3JXgWhJ3uti5Dzxz	inv6	1216	71	306	3	22s
x3JXgWhJ3uti5Dzxz	inv7	3143	530	1283	3	705s
x3JXgWhJ3uti5Dzxz	inv8	1259	268	529	3	159s
iP5JL36afv5KbDKP6	inv1	1908	163	482	3	202s
iP5JL36afv5KbDKP6	inv2	786	35	105	3	18s
iP5JL36afv5KbDKP6	inv3	1074	86	222	3	73s
iP5JL36afv5KbDKP6	inv4	1167	88	258	3	71s
iP5JL36afv5KbDKP6	inv5	1888	253	721	3	460s
iP5JL36afv5KbDKP6	inv6	1145	177	404	3	236s
iP5JL36afv5KbDKP6	inv7	1163	187	407	3	264s
iP5JL36afv5KbDKP6	inv8	931	85	235	3	59s
iP5JL36afv5KbDKP6	inv9	1938	324	1032	3	762s
iP5JL36afv5KbDKP6	inv10	882	82	292	3	65s
iP5JL36afv5KbDKP6	inv11	790	91	279	3	89s
iP5JL36afv5KbDKP6	inv12	751	92	222	3	65s
iP5JL36afv5KbDKP6	inv13	937	303	460	3	638s
iP5JL36afv5KbDKP6	inv14	578	54	205	3	27s
iP5JL36afv5KbDKP6	inv15	469	133	247	3	123s
dyj49tEp7j6aWAQQX	inv1	794	45	122	3	13s
dyj49tEp7j6aWAQQX	inv2	1329	94	514	3	59s
dyj49tEp7j6aWAQQX	inv3	540	29	78	3	7s
dyj49tEp7j6aWAQQX	inv4	772	80	245	3	32s
dyj49tEp7j6aWAQQX	inv5	856	128	372	3	72s
dyj49tEp7j6aWAQQX	inv6	1055	61	203	3	27s
dyj49tEp7j6aWAQQX	inv7	908	113	219	3	55s
dyj49tEp7j6aWAQQX	inv8	602	108	250	3	51s
dyj49tEp7j6aWAQQX	inv9	2151	590	1559	3	1409s
dyj49tEp7j6aWAQQX	inv10	831	289	473	3	266s
