id	pred	total	wrong	filter
x3JXgWhJ3uti5Dzxz	this/inv1	120	119	119
x3JXgWhJ3uti5Dzxz	this/inv2	45	44	44
x3JXgWhJ3uti5Dzxz	this/inv3	861	851	851
x3JXgWhJ3uti5Dzxz	this/inv4	151	150	150
x3JXgWhJ3uti5Dzxz	this/inv5	168	166	166
x3JXgWhJ3uti5Dzxz	this/inv6	71	70	70
x3JXgWhJ3uti5Dzxz	this/inv7	530	529	529
x3JXgWhJ3uti5Dzxz	this/inv8	268	256	256
dyj49tEp7j6aWAQQX	this/inv1	45	44	44
dyj49tEp7j6aWAQQX	this/inv2	94	93	93
dyj49tEp7j6aWAQQX	this/inv3	29	28	28
dyj49tEp7j6aWAQQX	this/inv4	80	79	79
dyj49tEp7j6aWAQQX	this/inv5	128	118	118
dyj49tEp7j6aWAQQX	this/inv6	61	56	56
dyj49tEp7j6aWAQQX	this/inv7	113	109	109
dyj49tEp7j6aWAQQX	this/inv8	108	99	99
dyj49tEp7j6aWAQQX	this/inv9	590	589	589
dyj49tEp7j6aWAQQX	this/inv10	289	265	265
cXPP9QBPTYgTX6WJ6	this/inv1	133	132	132
cXPP9QBPTYgTX6WJ6	this/inv2	56	54	54
cXPP9QBPTYgTX6WJ6	this/inv3	145	142	142
cXPP9QBPTYgTX6WJ6	this/inv4	111	109	109
cXPP9QBPTYgTX6WJ6	this/inv5	166	163	163
cXPP9QBPTYgTX6WJ6	this/inv6	70	68	68
cXPP9QBPTYgTX6WJ6	this/inv7	38	36	36
cXPP9QBPTYgTX6WJ6	this/inv8	53	50	50
cXPP9QBPTYgTX6WJ6	this/inv9	206	203	203
cXPP9QBPTYgTX6WJ6	this/inv10	90	86	86
iP5JL36afv5KbDKP6	this/inv1	163	161	161
iP5JL36afv5KbDKP6	this/inv2	35	33	33
iP5JL36afv5KbDKP6	this/inv3	86	82	82
iP5JL36afv5KbDKP6	this/inv4	88	87	87
iP5JL36afv5KbDKP6	this/inv5	253	248	248
iP5JL36afv5KbDKP6	this/inv6	177	168	168
iP5JL36afv5KbDKP6	this/inv7	187	177	177
iP5JL36afv5KbDKP6	this/inv8	85	79	79
iP5JL36afv5KbDKP6	this/inv9	324	313	313
iP5JL36afv5KbDKP6	this/inv10	82	80	80
iP5JL36afv5KbDKP6	this/inv11	91	87	87
iP5JL36afv5KbDKP6	this/inv12	92	87	87
iP5JL36afv5KbDKP6	this/inv13	303	292	292
iP5JL36afv5KbDKP6	this/inv14	54	50	50
iP5JL36afv5KbDKP6	this/inv15	133	110	110
